Code,Description
ENG,English
ESO,ESOL
ELA,English as a Second Language
LIT,Literacy
CLS,Classics
ENA,English
ENL,English
ENX,English Extension
MAT,Maths
MTX,Maths Extension
MAP,Practical Maths
MAG,General Maths
MAS,Maths with Statistics
MAC,Maths with Calculus
NUM,Numeracy
STA,Statistics
CAL,Calculus
SCI,Science
SCP,Practical Science
SCX,Science Extension
BIO,Biology
CHE,Chemistry
PHY,Physics
PSY,Psychology
ESS,Earth & Space Science
EES,Earth & Environmental Science
STE,STEM
STM,STEM
HOR,Horticulture
AGR,Agriculture
FRE,French
CHI,Chinese
ITA,Italian
GER,German
SPA,Spanish
SPN,Spanish
LAT,Latin
JAP,Japanese
JPN,Japanese
REO,Maori
IND,Indonesian
HIS,History
MHI,Modern History
AHI,Ancient History
GEO,Geography
HUM,Humanities
SSC,Social Sciences
SOS,Social Studies
SOC,Social Studies
SST,Social Studies
ACC,Accounting
BUS,Business
BST,Business Studies
ECO,Economics
COM,Commerce
HLH,Health
HEA,Health
HPE,Health & PE
PHE,Health & PE
MUS,Music
ART,Art
MED,Media Studies
PHO,Photography
DVC,Design & Visual Communication
DRA,Drama
DES,Design
VAR,Visual Art
DAN,Dance
DTE,Digital Technology
FOT,Food Technology
TEC,Technology
REL,Religious Studies
PED,Physical Education
HOS,Hospitality
TOU,Tourism
OED,Outdoor Education
RE,Religion
